gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000008,95.13988394558027,-0.04072898460727785,0.21987467970825153,-0.18523726634335766,0.8530429405329296,0.9506023332697684
FBgn0000017,4352.330928802169,-0.2562416187599472,0.11225938678992545,-2.282585234849539,0.02245481151193247,0.1313064139720493
FBgn0000018,418.58605881647827,-0.06479985835320086,0.13132206142853284,-0.49344228721589006,0.6217001091824521,0.8609968340886683
FBgn0000024,6.4058109184532865,0.3086048041888667,0.755107771782174,0.4086897469754688,0.6827673590485053,0.8893548963973602
FBgn0000032,989.6616268322997,-0.04856759907148172,0.12086073130005522,-0.4018476352828384,0.6877961624934346,0.8913453229849112
FBgn0000037,14.093656871854607,0.4531414839908733,0.5261097000478857,0.8613060811264819,0.38906948731536295,0.7147082091780836
FBgn0000042,82202.56830758268,0.30143282025121004,0.12382424986320234,2.434360156303994,0.014918143148951733,0.09721054127618484
FBgn0000043,31160.0903493967,0.608173890538671,0.11147404176646546,5.4557445024984,4.876807435742516e-8,1.5729063684945008e-6
FBgn0000044,27.011943610918028,0.4965946963958015,0.4080213862720106,1.21708006762357,0.22357375364587984,0.5604571813053768
FBgn0000045,6.496953448095627,0.32504867883861815,0.7634520876138124,0.4257617263901465,0.6702814785145026,0.8836773638309218
FBgn0000046,23.685122167836532,0.6214091666642984,0.4596478362459518,1.3519244901476923,0.1763994722021281,0.4925786356052988
FBgn0000047,9.273585486710854,0.8033504164816744,0.6631047817934256,1.2114984517363034,0.22570442768556181,0.5616255491864055
FBgn0000052,2342.766242685087,-0.17168433106770306,0.11365856043212555,-1.5105270594222355,0.13090899009405949,0.41360757394612535
FBgn0000053,2100.171990240966,0.24900630615073907,0.10588291194427543,2.3517138089457466,0.018687146519903337,0.11564452570020424
FBgn0000054,654.2487591696384,-0.12063037556125888,0.11952288693042089,-1.009265912657236,0.3128471232819183,0.6563603207477484
FBgn0000057,682.6100491667293,-0.052425336815842535,0.11403247200648402,-0.45974042212170557,0.6457025515834638,0.8710178151880789
FBgn0000061,1.5783947185438645,0.5683686787996438,1.5505211133352133,0.36656622983808795,0.713942601935281,NA
FBgn0000063,404.7422906907932,0.23649213471048092,0.12665092914105813,1.867275165799112,0.06186317158032342,0.2571753122332947
FBgn0000064,7916.69107259097,0.268800280838712,0.0840923712819519,3.1964882990093835,0.001391114686505951,0.014882011122226426
FBgn0000071,342.21307340761473,2.621266393691614,0.15792383441089797,16.598295016516683,7.1698759124436914e-62,6.911760379595718e-59
FBgn0000075,2.052335349086176,-0.426370905143797,1.3154859304571467,-0.324116659305986,0.7458497148547816,NA
FBgn0000077,224.18484948517113,-0.0599075635353147,0.1606964714709612,-0.3727994957632928,0.7092976781641724,0.8985068195376619
